n_gram,freq,freq3
one of,72777,34634
a lot,47692,30061
thanks for,44994,23827
to be,162011,18206
going to,79909,17446
i want,27027,15079
the end,23283,14935
out of,56115,14794
it was,96447,14327
as well,29300,13945
some of,28537,13685
be able,13180,13068
part of,32468,12392
i have,86473,11862
the rest,13866,11247
looking forward,11521,11229
i don't,56427,11149
thank you,39595,10277
is going,14244,10169
the first,57114,10166
a couple,15845,10044
this is,59684,9891
i need,21230,9519
i love,50744,9504
i'm going,11229,9445
there is,36737,9385
end of,18515,9377
you want,17840,9322
you have,41189,9260
the fact,11022,9067
can't wait,16649,8799
in the,411665,8626
to go,41035,8470
it would,19127,8406
at the,142776,8282
for the,201128,8053
it is,82295,8025
is one,12036,7966
to have,39812,7913
most of,17452,7784
all of,29932,7607
according to,24523,7561
in front,8079,7531
the united,8504,7224
of the,430597,7078
i had,40587,7067
if you,73389,7056
i think,58769,6938
rest of,11703,6899
don't want,9915,6751
back to,28960,6748
to make,48352,6685
have a,73612,6590
i wanted,9506,6561
it will,18023,6512
want to,64061,6431
in order,8003,6362
when i,42052,6323
to see,54098,6239
i feel,18245,6210
as much,10377,6205
to get,70661,6067
are going,7882,5901
i will,32835,5884
have to,61658,5855
to do,58618,5830
was going,7895,5820
we need,10774,5800
the same,49625,5720
a bit,21285,5639
there was,18476,5634
would like,7411,5593
i am,77084,5585
let me,13217,5584
you need,11489,5527
not going,6361,5408
a little,40841,5339
what do,7451,5211
as long,5442,5203
i wish,11624,5154
we have,33048,5130
all the,51378,5113
more than,42881,5095
go to,25768,5071
because of,17140,4891
will be,81167,4891
a chance,8094,4859
need to,44546,4751
and it,25375,4746
do you,32349,4730
the middle,8687,4705
would be,43750,4664
would love,6166,4656
and i,82122,4653
the number,6216,4566
side of,8232,4551
to take,25975,4542
would have,21146,4525
is not,35170,4523
when it,12781,4523
a long,13926,4493
i can't,25279,4435
in new,8996,4402
that i,54303,4372
i know,39221,4345
on the,196500,4289
there will,5348,4259
so i,33370,4237
i hope,19080,4236
that would,13579,4211
as part,4233,4201
up in,14024,4193
it comes,6292,4179
the university,5972,4158
was one,5453,4150
in my,42383,4147
a number,4856,4138
look forward,4258,4111
i was,86106,4087
has been,44072,4063
for me,26794,4046
the top,14064,4042
but it,22944,4037
is in,15166,4004
as soon,4060,4002
you so,6368,4000
wait to,11437,3976
for a,94137,3945
that it,20582,3918
a part,4516,3904
is the,73880,3888
said in,7978,3884
don't have,13856,3814
had a,38376,3814
look at,15141,3812
a way,8401,3797
i would,30714,3790
looking for,14717,3762
up to,26270,3732
a great,40797,3729
a bunch,4131,3706
back in,11962,3680
in addition,5466,3655
at a,27628,3643
many of,10819,3616
it's going,4016,3613
in love,6271,3607
top of,7893,3595
will have,11436,3586
how are,4901,3577
you for,13288,3577
how do,6501,3572
it has,15128,3562
so much,32159,3541
seems to,8201,3524
i decided,5155,3506
i'm not,22589,3497
what are,7691,3480
i went,8445,3451
trying to,31346,3435
he was,45837,3429
i used,8521,3423
is a,101009,3399
at this,9915,3398
of my,44671,3393
was able,3419,3373
the new,33758,3369
but i,51430,3364
percent of,9588,3357
be sure,4842,3353
to say,22268,3342
what to,6409,3341
you don't,17720,3310
we had,13538,3307
be in,13594,3292
a series,4049,3283
check it,3660,3278
thanks so,3451,3272
wish i,8630,3269
and in,14032,3244
members of,5492,3233
the back,7781,3219
to find,18343,3215
know how,9703,3213
we want,5435,3206
on top,5102,3193
all over,7093,3188
don't know,18214,3188
was in,13478,3185
it to,19867,3175
supposed to,8058,3175
needs to,9822,3160
member of,4950,3149
that he,24826,3148
a few,43690,3147
go back,5545,3132
the idea,7572,3116
you can,48227,3116
away from,11364,3099
it in,13520,3096
you know,28478,3090
we're going,3548,3089
i do,21086,3084
the only,23492,3060
he said,39313,3041
in terms,3104,3033
we will,13002,3032
as a,69203,3022
to talk,8613,3011
is expected,3411,2989
when he,17068,2974
a group,4831,2972
as far,3566,2946
for all,12698,2944
has to,9375,2937
said he,19320,2936
i got,21522,2935
to figure,3560,2919
the kind,4128,2918
check out,12145,2907
to try,9728,2901
by the,61588,2897
director of,6440,2894
i miss,8846,2888
and of,4970,2881
i'd like,3433,2874
be a,47027,2866
the beginning,5005,2866
i like,16971,2859
over the,33050,2859
to deal,3061,2849
went to,12319,2839
the bottom,5844,2833
to all,12711,2829
the name,5605,2806
the way,28934,2798
get out,5498,2794
the opportunity,3788,2792
out in,8343,2781
a pair,3172,2767
much of,8087,2761
a member,3144,2760
i thought,18087,2752
of all,14690,2744
come up,4191,2740
up with,17813,2735
is on,9595,2726
in a,119975,2720
a variety,2793,2718
was the,30919,2713
to look,9019,2710
is that,26646,2705
front of,8710,2702
am going,3068,2693
thought it,4817,2690
just want,4024,2673
that was,24074,2671
president of,5449,2667
no matter,6745,2664
to work,19656,2663
used to,16297,2641
there are,33383,2639
it can,6397,2613
that is,35149,2598
have been,47856,2597
for more,9662,2594
didn't want,3728,2591
it's hard,3445,2561
you are,43718,2560
will not,8790,2559
to keep,17966,2554
said it,10134,2549
have no,9988,2545
i just,36930,2544
new york,19516,2543
that they,17782,2543
let us,4493,2537
up on,11130,2533
take care,3183,2524
please follow,4079,2501
and a,58340,2474
you will,15134,2473
the people,12071,2444
it's time,4212,2435
around the,15998,2433
a piece,3220,2426
based on,10051,2419
that there,7821,2414
you're going,2854,2412
the last,27670,2410
it's been,7105,2405
the time,26201,2401
be on,7610,2397
been able,2409,2397
any of,7449,2384
middle of,4920,2384
a year,15034,2374
on my,30186,2373
to create,7327,2370
at least,30120,2360
and if,8992,2358
it should,4165,2352
i did,16780,2350
such as,17797,2348
are in,9367,2345
being able,2354,2336
may not,6166,2331
to pay,8928,2324
that you,21025,2322
the ability,2740,2319
for you,19439,2314
i didn't,19456,2314
a matter,2433,2313
and this,7725,2311
the next,25875,2304
i can,40872,2301
a good,39301,2299
the use,2429,2298
what kind,2463,2297
more and,3828,2295
lot of,31428,2274
i get,16325,2270
did you,13814,2267
the start,3517,2260
with all,7137,2259
out to,16020,2255
the amount,2994,2248
he is,24309,2242
the white,5086,2231
had to,23575,2228
they want,4604,2226
for those,7378,2223
every time,5881,2203
can be,27774,2198
the best,39995,2193
hope to,5785,2190
what is,16374,2183
the most,33228,2180
that we,19596,2179
seem to,7651,2178
bit of,8772,2177
but if,7055,2176
the other,26873,2172
what it,8043,2171
as it,11502,2167
due to,8902,2154
i wonder,5141,2154
half of,5088,2153
it looks,4174,2140
make sure,10483,2139
the cost,3450,2135
get back,5010,2133
just a,15676,2122
a sense,2576,2121
to use,13377,2110
time to,25778,2108
the story,9612,2106
down to,9182,2105
the city,18880,2105
first time,12148,2102
just have,3238,2101
well as,14467,2092
if i,28115,2091
to pick,4563,2090
the block,2963,2088
that this,8624,2080
day of,8957,2072
are you,28902,2069
was a,56670,2069
don't forget,4338,2059
sounds like,5546,2057
more of,6293,2052
to meet,9724,2051
people in,6794,2050
is such,2556,2047
it could,5359,2035
s o,2885,2033
this was,10719,2032
to check,5525,2032
the right,15945,2027
or at,3073,2024
could have,9017,2019
the power,4718,2014
to listen,2745,2011
to tell,8825,2010
that will,10928,2007
and all,10082,1999
the size,2483,1998
bottom of,3164,1977
they have,17048,1976
you and,13161,1972
shout out,4088,1970
a list,2553,1968
up for,11786,1967
to think,8317,1964
at some,3300,1962
out on,6882,1960
get to,14895,1959
ready for,9779,1945
feel free,2041,1943
you going,2708,1941
happy birthday,8915,1939
of course,22042,1936
will continue,2856,1933
and then,29608,1922
so you,6509,1917
for some,10218,1915
a picture,3634,1912
and have,9775,1909
happy new,2233,1909
along with,10310,1902
and that,20965,1902
in one,8025,1902
was on,5987,1899
feel like,12821,1894
over and,4914,1893
they are,38096,1890
looks like,9757,1886
the state,19032,1886
to win,10925,1885
to watch,10079,1882
to come,16219,1877
and you,16550,1873
the chance,2816,1872
i try,2964,1869
in this,26049,1862
it on,8532,1855
that can,5929,1855
as one,3252,1847
the lack,1882,1846
should be,23628,1844
is trying,1995,1838
when you,26691,1838
but in,6575,1836
i tried,3730,1830
he has,17248,1829
to me,27319,1829
on how,5005,1827
and the,126101,1825
me and,15980,1824
a look,3192,1823
he had,14996,1823
be one,2963,1822
not to,16998,1819
wait for,7044,1819
as you,8973,1818
i guess,11810,1818
to the,213754,1817
and they,15627,1816
a fan,3461,1814
i'm trying,2257,1806
how much,12045,1805
nothing to,4177,1803
me in,7174,1802
a result,3503,1800
parts of,3656,1799
it as,6307,1792
so we,8549,1792
the st,2885,1791
people who,14646,1788
i could,23718,1776
the majority,2411,1775
along the,6362,1773
in recent,3538,1770
they need,3520,1768
in st,2859,1765
the age,2212,1765
who wants,2485,1765
the death,3191,1764
is part,1896,1761
happy mothers,1784,1757
i'd love,2116,1756
way to,25324,1756
in other,5016,1755
two of,5120,1750
just wanted,2108,1749
my way,4658,1749
the history,2378,1749
know what,15840,1748
could be,16883,1747
see you,14769,1741
the second,14759,1717
which is,19912,1717
was trying,1868,1716
able to,28432,1715
ready to,12527,1715
a handful,1917,1713
is to,18675,1709
like to,19689,1709
little bit,5713,1707
them in,6950,1707
really want,2785,1704
across the,10600,1703
forward to,16500,1700
know if,6565,1699
you in,8005,1696
the importance,1777,1693
much as,7048,1691
a_m to,2137,1683
happy mother's,1692,1683
come to,11933,1682
the heart,3804,1682
on to,8717,1679
