n_gram,freq
one of the,34634
a lot of,30061
thanks for the,23827
to be a,18206
going to be,17446
i want to,15079
the end of,14935
out of the,14794
it was a,14327
as well as,13945
some of the,13685
be able to,13068
part of the,12392
i have a,11862
i have to,11293
the rest of,11247
looking forward to,11229
i don't know,11149
thank you for,10277
is going to,10169
the first time,10166
a couple of,10044
this is a,9891
i need to,9519
i love you,9504
i'm going to,9445
there is a,9385
end of the,9377
you want to,9322
you have to,9260
the fact that,9067
can't wait to,8799
in the world,8626
one of my,8573
to go to,8470
it would be,8406
this is the,8388
at the end,8282
in the first,8063
for the first,8053
it is a,8025
is one of,7966
to have a,7913
there is no,7889
for the follow,7843
most of the,7784
all of the,7607
according to the,7561
i don't think,7552
in front of,7531
you have a,7501
the united states,7224
to be the,7130
of the year,7078
i had to,7067
if you are,7056
i had a,6965
i think i,6938
rest of the,6899
of the day,6775
don't want to,6751
back to the,6748
i have been,6738
to make a,6685
have a great,6590
i wanted to,6561
it will be,6512
want to be,6431
in order to,6362
when i was,6323
to see the,6239
i feel like,6210
as much as,6205
if you have,6098
to get a,6067
at the same,5983
one of those,5966
in the past,5935
if you want,5905
are going to,5901
i will be,5884
have to be,5855
to do with,5830
was going to,5820
of the most,5805
to see you,5801
we need to,5800
the same time,5720
at the time,5675
a bit of,5639
there was a,5634
would like to,5593
i am not,5585
let me know,5584
you need to,5527
in the middle,5446
it was the,5412
not going to,5408
a little bit,5339
to make it,5265
what do you,5211
as long as,5203
i wish i,5154
we have a,5130
all the time,5113
more than a,5095
go to the,5071
if you don't,4967
to be in,4967
to get the,4925
because of the,4891
will be a,4891
a chance to,4859
need to be,4751
and it was,4746
do you think,4730
the middle of,4705
in the morning,4703
i don't have,4697
would be a,4664
would love to,4656
and i have,4653
i don't want,4607
the number of,4566
side of the,4551
to make the,4542
to take a,4542
would have been,4525
is not a,4523
when it comes,4523
to do it,4505
a long time,4493
of the best,4480
in the same,4479
i can't wait,4435
in new york,4402
i love the,4386
that i have,4372
it is the,4366
i know i,4345
of the world,4321
we have to,4317
on the other,4289
for the rt,4263
there will be,4259
so i can,4237
i hope you,4236
i have no,4211
that would be,4211
as part of,4201
it is not,4194
up in the,4193
it comes to,4179
the university of,4158
was one of,4150
in my life,4147
a number of,4138
in the last,4130
look forward to,4111
to make sure,4106
do you have,4103
i was a,4087
i am so,4073
has been a,4063
i am a,4056
for me to,4046
the top of,4042
but it was,4037
is in the,4004
as soon as,4002
you so much,4000
wait to see,3976
and i am,3972
for a while,3945
and i was,3937
that it was,3918
a part of,3904
is the best,3888
said in a,3884
don't have to,3814
had a great,3814
look at the,3812
a way to,3797
i would have,3790
looking for a,3762
up to the,3732
a great day,3729
i think it,3723
a bunch of,3706
that i am,3699
back in the,3680
for the next,3674
i think the,3661
in addition to,3655
to be able,3655
that it is,3645
at a time,3643
of the season,3641
thanks for following,3619
many of the,3616
it's going to,3613
in love with,3607
but it is,3604
top of the,3595
will have to,3586
i was in,3584
how are you,3577
you for the,3577
how do you,3572
it has been,3562
i think it's,3558
so much for,3541
to get to,3532
seems to be,3524
i decided to,3506
i'm not sure,3497
what are you,3480
have to do,3473
i went to,3451
part of a,3443
trying to get,3435
in the second,3430
he was a,3429
in the end,3425
i used to,3423
for a few,3418
is a great,3399
at this point,3398
that i was,3395
this is not,3395
of my life,3393
going to have,3383
was able to,3373
the new york,3369
will be the,3369
but i think,3364
percent of the,3357
be sure to,3353
to say that,3342
what to do,3341
and it is,3338
can't wait for,3330
you don't have,3310
we had a,3307
i love it,3301
be in the,3292
a series of,3283
need to get,3279
check it out,3278
thanks so much,3272
wish i could,3269
there was no,3255
and in the,3244
all the way,3242
i need a,3233
members of the,3233
the back of,3219
to find a,3215
i know that,3213
know how to,3213
have a good,3210
of the new,3206
we want to,3206
on top of,3193
all over the,3188
don't know what,3188
was in the,3185
on the way,3183
and i think,3175
it to the,3175
supposed to be,3175
is a good,3171
but i don't,3164
needs to be,3160
member of the,3149
that he was,3148
a few days,3147
going to the,3147
go back to,3132
of my favorite,3122
the idea of,3116
you can see,3116
away from the,3099
it in the,3096
you know what,3090
we're going to,3089
want to see,3085
i do not,3084
in the u_s,3082
to see what,3067
the only one,3060
a little more,3049
he said he,3041
want to go,3041
in terms of,3033
we will be,3032
as a result,3022
to talk to,3011
is expected to,2989
one of them,2989
going to get,2988
i think that,2984
of the first,2974
when he was,2974
a group of,2972
the same thing,2971
as far as,2946
in the city,2945
for all the,2944
i am going,2941
has to be,2937
said he was,2936
i got a,2935
to talk about,2923
to figure out,2919
the kind of,2918
want to do,2909
check out the,2907
to try to,2901
by the time,2897
director of the,2894
thank you so,2893
i miss you,2888
and of course,2881
according to a,2876
i'd like to,2874
be a good,2866
the beginning of,2866
to see if,2861
i like to,2859
over the past,2859
i would like,2853
and i don't,2850
to deal with,2849
in the next,2847
in the future,2841
went to the,2839
in the united,2835
the bottom of,2833
to all the,2829
and i will,2825
a few years,2807
the name of,2806
the way to,2798
get out of,2794
the opportunity to,2792
of the time,2790
out in the,2781
to find out,2773
a pair of,2767
a great time,2764
much of the,2761
a member of,2760
by the way,2753
but i have,2752
i thought i,2752
of all the,2744
come up with,2740
up with a,2735
the only thing,2730
is not the,2728
is on the,2726
i thought it,2722
in a statement,2720
on the road,2719
out of my,2719
a variety of,2718
was the first,2713
to look at,2710
is that the,2705
front of the,2702
in the house,2701
am going to,2693
is the only,2690
thought it was,2690
if you can,2687
over the years,2680
just want to,2673
that was a,2671
president of the,2667
no matter what,2664
to do the,2664
to work with,2663
in the country,2659
i was going,2642
used to be,2641
there are a,2639
have to go,2613
it can be,2613
going to do,2610
no matter how,2599
that is the,2598
have been a,2597
for more than,2594
but i am,2593
didn't want to,2591
would have to,2586
a few weeks,2578
he said the,2562
it's hard to,2561
you are a,2560
will not be,2559
to keep the,2554
said it was,2549
have no idea,2545
i was just,2545
i just want,2544
new york city,2543
that they are,2543
i don't like,2538
do you know,2537
let us know,2537
up on the,2533
to do that,2530
take care of,2524
to take the,2524
of the game,2522
i would be,2517
to do a,2517
please follow me,2501
up with the,2500
in a few,2496
by the end,2491
you can do,2485
a lot more,2484
to do so,2482
this is what,2477
and a half,2474
you will be,2473
is the first,2465
the people who,2444
you know that,2437
i would love,2435
it's time to,2435
around the world,2433
a piece of,2426
to get out,2423
based on the,2419
to be on,2419
that there is,2414
that i can,2413
you're going to,2412
the last time,2410
it's been a,2405
that i had,2401
the time to,2401
be on the,2397
been able to,2397
is the most,2395
to be an,2393
any of the,2384
middle of the,2384
a year ago,2374
on my way,2373
have to say,2371
have a lot,2370
to create a,2370
at least one,2360
i love my,2359
and if you,2358
it should be,2352
i did not,2350
such as the,2348
are in the,2345
of the week,2343
i think we,2342
at the moment,2339
being able to,2336
may not be,2331
in the state,2329
for the rest,2328
don't have a,2325
to pay for,2324
that you can,2322
the ability to,2319
to see how,2316
for you to,2314
i didn't know,2314
a matter of,2313
and this is,2311
to have the,2306
the next day,2304
in a row,2303
to have to,2302
i can do,2301
a good day,2299
you can get,2299
the use of,2298
what kind of,2297
more and more,2295
to work on,2290
in my head,2286
to get back,2275
lot of people,2274
i get to,2270
all of us,2269
did you know,2267
the start of,2260
with all the,2259
at the top,2256
out of a,2255
out to be,2255
want to get,2255
more than million,2250
the amount of,2248
thank you to,2247
in the face,2246
he is a,2242
to get my,2241
the white house,2231
there are no,2231
would be the,2231
had to be,2228
they want to,2226
don't know how,2225
for those who,2223
on the floor,2222
to see a,2222
for a new,2217
for the last,2217
for all of,2216
that was the,2210
every time i,2203
i love that,2202
in the back,2202
it was just,2202
can be a,2198
the best of,2193
that is a,2192
hope to see,2190
i have the,2184
in the area,2183
what is the,2183
i like the,2182
the most important,2180
that we are,2179
seem to be,2178
bit of a,2177
but if you,2176
a good thing,2175
one of our,2174
the same way,2174
the other day,2172
what it is,2171
as it is,2167
over the last,2165
to do something,2158
some of my,2157
the other side,2156
due to the,2154
i wonder if,2154
half of the,2153
the other hand,2153
to do this,2152
will be in,2149
to get it,2147
for a long,2145
to go back,2145
a great weekend,2144
it looks like,2140
make sure you,2139
the cost of,2135
get back to,2133
to all of,2126
just a few,2122
a sense of,2121
don't know if,2110
to use the,2110
time to get,2108
the story of,2106
down to the,2105
the city of,2105
first time in,2102
just have to,2101
i can't believe,2094
well as the,2092
and i love,2091
if i had,2091
to pick up,2090
it was so,2088
the block of,2088
in the early,2085
that this is,2080
in the air,2078
i can get,2077
day of the,2072
are you going,2069
for the past,2069
was a great,2069
is a very,2068
don't forget to,2059
sounds like a,2057
this is my,2057
was a good,2057
that we have,2054
more of a,2052
to meet you,2051
people in the,2050
is such a,2047
in the way,2045
to see it,2045
that you are,2042
want to know,2040
of the house,2039
it could be,2035
s o to,2033
i got to,2032
this was a,2032
to check out,2032
a few of,2028
out to the,2027
the right to,2027
or at least,2024
could have been,2019
i was so,2015
the power of,2014
to listen to,2011
a good time,2010
to tell you,2010
that will be,2007
in the game,2006
in the new,2000
and all the,1999
over the next,1999
the size of,1998
of the people,1994
and i had,1993
in a way,1992
when i get,1988
to do is,1983
bottom of the,1977
they have a,1976
i get a,1975
you and your,1972
all of you,1971
shout out to,1970
the time i,1969
a list of,1968
up for the,1967
at the university,1965
to think about,1964
at some point,1962
out on the,1960
get to the,1959
in the process,1957
i can see,1954
there are some,1949
in the third,1947
ready for the,1945
feel free to,1943
you going to,1941
have to get,1940
happy birthday to,1939
of course i,1936
will continue to,1933
